header,description,link_title,link_url,link_target,time
"REROUTES AHEAD","APRIL 25-27 | CAP CITY HALF MARATHON & COLUMBUS GREAT STRIDES ","LEARN MORE",https://author.cota.com/reroutes/,,1745377166
"REROUTES AHEAD","MAY 3 | ABATE AWARENESS RALLY ","LEARN MORE",https://author.cota.com/reroutes/,,1746241125
"REROUTES AHEAD","MAY 10 | HOPS ON HIGH ","LEARN MORE",https://author.cota.com/reroutes/,,1746845940
"REROUTES AHEAD"," | MAY 17-18 | PLAYSTREETS ON WHITTIER, RACE FOR THE CURE & GIRLS ON THE RUN ","LEARN MORE",/reroutes/,_blank,1747364850
"REROUTES AHEAD","JUNE 1 | COLUMBUS 10K","LEARN MORE",https://author.cota.com/reroutes/,,1748660719
"REROUTES AHEAD","JUNE 4-9 | COLUMBUS ARTS FESTIVAL ","LEARN MORE",https://author.cota.com/reroutes/,,1749093072
"REROUTES AHEAD","JUNE 14 | STONEWALL COLUMBUS PRIDE MARCH AND FESTIVAL","LEARN MORE",https://author.cota.com/reroutes/,,1749697860
"REROUTES AHEAD","JUNE 19-21 | JUNETEENTH FESTIVALS & PLAYSTREETS ON WHITTIER ","LEARN MORE",https://author.cota.com/reroutes/,,1750302762
"STAY COOL & RIDE FREE","June 22-24 | All fares waived during the heat advisory","Learn More",https://cota.com/blog/cota-board-of-trustees-authorizes-resolution-to-waive-all-transit-fares-during-extreme-temperatures/,,1750601479
"STAY COOL & RIDE FREE","June 22-25 | All fares waived during the heat advisory","Learn More",https://cota.com/blog/cota-board-of-trustees-authorizes-resolution-to-waive-all-transit-fares-during-extreme-temperatures/,,1750734824
"STAY COOL & RIDE FREE","June 22-27 | All fares waived during the heat advisory","Learn More",https://cota.com/blog/cota-board-of-trustees-authorizes-resolution-to-waive-all-transit-fares-during-extreme-temperatures/,,1750907587
"SERVICE ALERTS","June 27–29 Events May Impact Routes and Schedules | Grandview Hop & Stonewall Drag Race",,,,1751080161
"REROUTES AHEAD","JULY 3-4 | RED, WHITE & BOOM! | 4TH OF JULY PARADES","Learn More",https://cota.com/reroutes/,,1751598807
"REROUTES AHEAD","JULY 12 | DASH FOR DONATIONS AND PLAYSTREETS ON WHITTIER","Learn More",https://www.cota.com/reroutes/,,1752290433
"REROUTES AHEAD","JULY 18-20 | JAZZ & RIB FEST ","Learn More",https://www.cota.com/reroutes/,,1752809043
"DON’T SWEAT THE HEAT","RIDE FREE JULY 24 | All fares waived during the heat advisory","LEARN MORE",https://www.cota.com/blog/cota-announces-no-fares-for-thursday-july-24-after-national-weather-service-issues-heat-advisory/,,1753327432
"REROUTES AHEAD","JULY 26 | GRANDVIEW HOP","LEARN MORE",https://www.cota.com/reroutes/,,1753452780
"BEAT THE HEAT","RIDE FREE,  JULY 29 | All fares waived during the heat advisory.","LEARN MORE",https://www.cota.com/blog/cota-announces-no-fares-for-tuesday-july-29-after-national-weather-service-issues-heat-advisory/,,1753760632
,"Please plan ahead for Pelotonia events (Aug. 1–2), Gallery Hop (Aug. 2), and the City of Grace Block Party (Aug. 3). Expect reroutes and delays on impacted lines.","LEARN MORE",https://www.cota.com/reroutes/,,1753932430
"REROUTES AHEAD","AUG. 2 | PELOTONIA & CITY OF GRACE BLOCK PARTY","LEARN MORE",https://www.cota.com/reroutes/,,1754057726
"REROUTES AHEAD","AUG. 9 | LINES: 1, 2, 4, 5, 8, 10, 11 & 22 ","LEARN MORE",https://www.cota.com/reroutes/,,1754709297
"REROUTES AHEAD","AUG. 15-17 | LINES: 1-12, 22, 31, 102, CMAX & ZOO BUS ","LEARN MORE",https://www.cota.com/reroutes/,,1755227779
"REROUTES AHEAD","AUG. 23-24 | IMPACTED LINES: 1, 2, 5, 7, 31, 102, CMAX & ZOO BUS","LEARN MORE",https://www.cota.com/reroutes/,,1755871939
"REROUTES AHEAD","AUG. 30 | OSU VS. TEXAS HOME GAME","LEARN MORE",https://www.cota.com/reroutes/,,1756522288
"REROUTES AHEAD","Sept. 6 | HOPS ON HIGH & OSU GAME","LEARN MORE",https://www.cota.com/reroutes/,,1757126871
"REROUTES AHEAD","SEPT. 20-21 | IMPACTED LINES: 3, 4, 6–12 & ZOO BUS","LEARN MORE",https://www.cota.com/reroutes/,,1758336472
"REROUTES AHEAD","Sept. 27 | GRANDVIEW HOP","LEARN MORE",https://www.cota.com/reroutes/,,1758895836
"REROUTES AHEAD","OCT. 3–4 | IMPACTED LINES: 1–12, 22, 31, 102, CMAX & ZOO BUS","LEARN MORE",https://www.cota.com/reroutes/,,1759459896
"REROUTES AHEAD","OCT. 11–12 | IMPACTED LINES: 1-5, 7-12, 102 & ZOO BUS ","LEARN MORE",https://www.cota.com/reroutes/,,1760150834
"REROUTES AHEAD","OCT. 17–19 | IMPACTED LINES: 1–12, 22, 31, 71, 73, 102, CMAX & Zoo Bus","LEARN MORE",https://www.cota.com/reroutes/,,1760669789
"REROUTES AHEAD","OCT. 24–26 | IMPACTED LINES: 1, 2, 5, 10, 12, 43, 101, 102, Zoo Bus","LEARN MORE",https://www.cota.com/reroutes/,,1761361011
,"Real-time tracking is temporarily unavailable while we resolve a nationwide system outage.",,,,1761793526
"REROUTES: NOV. 14","IMPACTED LINES: 1–12, 102 & CMAX ","Learn More",/reroutes/,,1763175655
"NOV. 17 Stops closed"," on S. High St. due to Construction.","Learn More",/reroutes/,,1763435190
,"Sunday Schedule for Thanksgiving, Thursday, Nov. 27 | COTA//Plus: South Side Zone Only | Customer Experience Center: Closed | Call Center: Closed",,,,1764040117
"REROUTES: DEC. 5–6","IMPACTED LINES: 1, 2, 3, 5 & 102","Learn More",/reroutes/,,1764990205
"REROUTES: DEC. 14","IMPACTED LINES: 1 & 23","Learn More",/reroutes/,,1765595380
"Sunday Schedule for Christmas & New Year’s Days ","COTA//Plus: South Side Zone Only | Customer Experience Center & Call Center: Closed",,,,1766460026
"Public Comment Meetings: Share feedback on proposed May 2026 service changes","Join us Jan. 15 at 6 p.m. or Jan. 20 at noon","Learn More",/servicechanges,_blank,1767929041
"MLK Day Reroutes Monday, Jan. 19","Service adjustments in effect due to the MLK Day Parade and Annual MLK March in Linden.","Learn More",/reroutes,_blank,1768533811
"MLK Jr. Day and Cold Advisory: Jan. 19–20","Sunday schedule and reroutes in effect Monday, Jan. 19. All fares are waived Jan. 19–20 due to the cold advisory.",,,,1768794202
"Cold Advisory: Jan. 23–24","All fares are waived Jan. 23–24 due to the cold advisory.",,,,1769224846
"Cold Advisory: Jan. 24-26","All fares are waived through the end of service Monday, Jan. 26, due to the cold advisory.",,,,1769312820
"Cold Advisory: Jan. 25-27","All fares are waived through the end of service Tuesday, Jan. 27, due to the cold advisory.",,,,1769399408
